microorganismo,antibiotico,s_cim,i_cim,r_cim,diametro_s_mm,diametro_i_mm,diametro_r_mm,notas
S.maltophilia,Agentes diversos,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
S.maltophilia,Sulfametoxazol-trimetoprima1,"0,001","0,002-2",>2,50A,16-49,"<16A,B",1. Sulfametoxazol-trimetoprima na proporção 19:1. Os pontos de corte estão expressos como concentração de trimetoprima.
S.maltophilia,Exemplos de halos de inibição de Stenotrophomonas maltophilia com sulfametoxazol-trimetoprima.,,,,,,,
S.maltophilia,a-c) Um halo externo pode ser visualizado. Ler a borda externa do halo de inibição e interpretar conforme os pontos de cortes.,,,,,,,
S.maltophilia,d) Crescimento até a borda do disco e sem sinal de halo de inibição. Reportar como resistente.,,,,,,,
Acinetobacter,Ampicilina-sulbactam,EI,EI,EI,EI,EI,EI,"1. O teste de sensibilidade de Acinetobacter spp. às penicilinas não é confiável. Na maioria dos casos, Acinetobacter spp. são resistentes às penicilinas."
Acinetobacter,Piperacilina-tazobactam,EI,EI,EI,EI,EI,EI,
Acinetobacter,Cefalosporinas,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Acinetobacter,Cefepima,-,-,-,-,-,-,"1. A determinação da CIM por microdiluição deve ser realizada com caldo Mueller-Hinton sem ferro e as instruções de leitura específicas devem ser seguidas. Para condições de teste e instruções de leitura, consultar http://www.eucast.org/eucastguidancedocuments/.
2/A. A atividade in vitro do cefiderocol contra Acinetobacter spp. é comparável à atividade do agente contra Enterobacterales e também há dados em animais que sugerem eficácia. No entanto, não há dados clínicos suficientes para determinar um ponto de corte clínico. Isolados com valores de CIM ≤ 0,5 mg/L (diâmetro do halo ≥ 21 mm) são, em sua maioria, desprovidos de mecanismos de resistência. Isolados com CIMs de 1-2 mg/L apresentam mecanismos de resistência adquiridos que podem resultar em resposta clínica inadequada. Isolados com valores de CIM > 2 mg/L (diâmetro do halo < 17 mm) provavelmente serão resistentes."
Acinetobacter,Cefepima-enmetazobactam,-,-,-,-,-,-,
Acinetobacter,Cefiderocol1,Nota2,Nota2,Nota2,NotaA,NotaA,NotaA,
Acinetobacter,Ceftazidima,-,-,-,-,-,-,
Acinetobacter,Ceftazidima-avibactam,-,-,-,-,-,-,
Acinetobacter,Ceftolozana-tazobactam,-,-,-,-,-,-,
Acinetobacter,Carbapenêmicos,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Acinetobacter,Doripenem,0.001,"0,002-2",>2,50,22-49,<22,"1/A. As betalactamases produzidas por esses microrganismos não modificam o carbapenêmico ou são insuficientemente inibidas pelo inibidor. Portanto, a adição do inibidor de betalactamases não resulta em benefício clínico."
Acinetobacter,Ertapenem,-,-,-,-,-,-,
Acinetobacter,Imipenem,2,4,>4,24,21-23,<21,
Acinetobacter,Imipenem-relebactam1,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
Acinetobacter,Meropenem (infecções não meníngeas),2,4-8,>8,21,15-20,<15,
Acinetobacter,Meropenem (meningite),2,-,>2,21,-,<21,
Acinetobacter,Meropenem-vaborbactam1,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
Acinetobacter,Acinetobacter spp.,,,,,,"Tabela de Pontos de Corte Clínicos do BrCAST-EUCAST, válida a partir de 01-02-2025",
Acinetobacter,Regras de Especialistas e Fenótipos Esperados,,,,Documentos de orientação,,,"Para abreviações e explicações sobre pontos de corte, ver aba de Notas"
Acinetobacter,Monobactâmicos,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Acinetobacter,Aztreonam,-,-,-,-,-,-,
Acinetobacter,Aztreonam-avibactam,-,-,-,-,-,-,
Acinetobacter,Fluoroquinolonas,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Acinetobacter,Ciprofloxacino,"0,001","0,002-1",>1,50,21-49,<21,
Acinetobacter,Delafloxacino,EI,EI,EI,EI,EI,EI,
Acinetobacter,Levofloxacino,"0,5",1,>1,23,20-22,<20,
Acinetobacter,Moxifloxacino,-,-,-,-,-,-,
Acinetobacter,Norfloxacino (exclusivamente ITU não complicada),-,-,-,-,-,-,
Acinetobacter,Ofloxacino,-,-,-,-,-,-,
Acinetobacter,Aminoglicosídeos1,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Acinetobacter,Amicacina (infecções sistêmicas),(8)1,-,(>8)1,(19)A,-,(<19)A,"1/A. Para obter informações sobre como usar pontos de corte entre parênteses, consultar https://www.eucast.org/eucastguidancedocuments/."
Acinetobacter,Amicacina (infecções sistêmicas com origem no trato urinário),8,-,>8,19,-,<19,
Acinetobacter,Gentamicina (infecções sistêmicas),(4)1,-,(>4)1,(17)A,-,(<17)A,
Acinetobacter,Gentamicina (infecções sistêmicas com origem no trato urinário),4,-,>4,17,-,<17,
Acinetobacter,Netilmicina,EI,EI,EI,EI,EI,EI,
Acinetobacter,Tobramicina (infecções sistêmicas),(4)1,-,(>4)1,(17)A,-,(<17)A,
Acinetobacter,Tobramicina (infecções sistêmicas com origem no trato urinário),4,-,>4,17,-,<17,
Acinetobacter,Tetraciclinas,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Acinetobacter,Doxiciclina,-,-,-,-,-,-,1. A minociclina tem sido discutida como terapia alternativa em infecções por Acinetobacter. O “EI” na tabela diz respeito apenas à terapia intravenosa. A administração oral não atingirá exposição suficiente.
Acinetobacter,Minociclina,EI1,EI1,EI1,EI,EI,EI,
Acinetobacter,Tetraciclina,-,-,-,-,-,-,
Acinetobacter,Tigeciclina,EI,EI,EI,EI,EI,EI,
Acinetobacter,Acinetobacter spp.,,,,,,"Tabela de Pontos de Corte Clínicos do BrCAST-EUCAST, válida a partir de 01-02-2025",
Acinetobacter,Regras de Especialistas e Fenótipos Esperados,,,,Documentos de orientação,,,"Para abreviações e explicações sobre pontos de corte, ver aba de Notas"
Acinetobacter,Agentes diversos,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Acinetobacter,Colistina1,(2)2,-,(>2)2,NotaA,NotaA,NotaA,"1. A determinação da CIM de colistina ou polimixina B deve ser realizada por microdiluição em caldo. O controle de qualidade deve ser realizado tanto com uma cepa de CQ sensível (E. coli ATCC 25922 ou P. aeruginosa ATCC 27853) quanto com a E. coli NCTC 13846 resistente à colistina (mcr-1 positivo).
2. Para obter informações sobre como usar pontos de corte entre parênteses, consultar https://www.eucast.org/eucastguidancedocuments/."
Acinetobacter,"Polimixina B1,3",(2)2,-,(>2)2,NotaA,NotaA,NotaA,3. Pontos de corte preconizados pelo BrCAST.
Acinetobacter,Sulfametoxazol-trimetoprima4,2,4,>4,14,11-13,<11,4. Sulfametoxazol-trimetoprima na proporção 19:1. Os pontos de corte estão expressos como concentração de trimetoprima.
Staphylococcus,"Benzilpenicilina, S. aureus","0,1251",-,">0,1251","26A,B",-,"<26A,B","1/A. A maioria dos S. aureus são produtores de penicilinase e alguns são resistentes à meticilina (oxacilina). Qualquer um desses mecanismos os torna resistentes à benzilpenicilina, fenoximetilpenicilina, ampicilina, amoxicilina, piperacilina e ticarcilina. Isolados sensíveis à benzilpenicilina e à cefoxitina podem ser reportados como sensíveis a todas as penicilinas. Isolados  resistentes à benzilpenicilina, mas sensíveis à cefoxitina, são sensíveis às combinações de inibidores de β-lactamase, isoxazolilpenicilinas (oxacilina, cloxacilina, dicloxacilina e flucloxacilina) e à nafcilina. Para agentes administrados por via oral, deve-se ter cuidado para obter exposição suficiente no local da infecção. Isolados resistentes à cefoxitina são resistentes a todas as penicilinas.
2/C. A maioria dos estafilococos são produtores de penicilinase e alguns são resistentes à meticilina. Qualquer um dos mecanismos os torna resistentes à benzilpenicilina, fenoximetilpenicilina, ampicilina, amoxicilina, piperacilina e ticarcilina. Nenhum método atualmente disponível pode detectar com segurança a produção de penicilinase em todas as espécies de estafilococos, mas a resistência à meticilina pode ser detectada com cefoxitina, conforme descrito.
3/D. S. saprophyticus sensíveis à ampicilina são gene mecA-negativo e sensíveis à ampicilina, amoxicilina e piperacilina (com ou sem inibidor de β-lactamase).
4. S. aureus, S. lugdunensis e S. saprophyticus com CIM de oxacilina >2 mg/L são, em sua maioria, resistentes à meticilina pela presença do gene mecA ou gene mecC. Ocasionalmente, valores de CIM de oxacilina são altos em  S. aureus na ausência de resistência mediada por gene mec. Essas cepas são conhecidas como BORSA (Borderline Oxacillin-Resistant S. aureus). O BrCAST-EUCAST não recomenda uma triagem sistemática para BORSA. Para estafilococos coagulase negativo, exceto S. saprophyticus e S. lugdunensis, a CIM de oxacilina em cepas resistentes à meticilina é >0,25 mg/L."
Staphylococcus,"Benzilpenicilina, S. lugdunensis","0,125",-,">0,125",26,-,<26,
Staphylococcus,"Benzilpenicilina, outros estafilococos",Nota2,Nota2,Nota2,NotaC,NotaC,NotaC,
Staphylococcus,"Ampicilina, S. saprophyticus","Nota2,3","Nota2,3","Nota2,3","18C,D",-,"<18C,D",
Staphylococcus,Ampicilina-sulbactam,"Nota1,2,3","Nota1,2,3","Nota1,2,3","NotaA,C,D","NotaA,C,D","NotaA,C,D",
Staphylococcus,Amoxicilina,"Nota1,2,3","Nota1,2,3","Nota1,2,3","NotaA,C,D","NotaA,C,D","NotaA,C,D",
Staphylococcus,Amoxicilina-ácido clavulânico,"Nota1,2,3","Nota1,2,3","Nota1,2,3","NotaA,C,D","NotaA,C,D","NotaA,C,D",
Staphylococcus,Piperacilina-tazobactam,"Nota1,2,3","Nota1,2,3","Nota1,2,3","NotaA,C,D","NotaA,C,D","NotaA,C,D",
Staphylococcus,"Fenoximetilpenicilina, S. aureus",Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
Staphylococcus,"Fenoximetilpenicilina, estafilococos coagulase negativos",-2,-2,-2,NotaC,NotaC,NotaC,
Staphylococcus,"Oxacilina (exclusivamente triagem), 
S. pseudintermedius, S. intermedius, S. schleiferi e S. coagulans",,,,20E,-,<20E,
Staphylococcus,"Oxacilina4, Staphylococcus spp., (exceto S. pseudintermedius, S. intermedius, S. schleiferi e S. coagulans), testar cefoxitina","Nota1,4","Nota1,4","Nota1,4",NotaA,NotaA,NotaA,"B. Para detecção de isolados de S. aureus produtores de penicilinase, o método de disco-difusão é mais confiável do que a determinação da CIM, desde que o diâmetro do halo seja medido E as bordas do halo para isolados com diâmetro ≥26 mm sejam cuidadosamente avaliadas (ver figuras abaixo). Examinar as bordas do halo de inibição com luz transmitida (placa contra a luz). Se o diâmetro do halo de inibição for <26mm, reportar resistente. Se o diâmetro for ≥26mm E a borda dos halo bem definida  (sem redução do crescimento em direção à borda do halo, como uma ""falésia""), reportar como resistente. Se as bordas do halo forem mal definidas (redução do crescimento em direção à borda do halo, como uma ""praia"") reportar sensível, mas se duvidoso reportar resistente. Testes de β-lactamase com cefalosporina cromogênica não são confiáveis para detectar penicilinase estafilocócica.
E. Para triagem de resistência à meticilina (oxacilina) em S. pseudintermedius, S. intermedius, S. schleiferi e S. coagulans."
Staphylococcus,Staphylococcus spp.,,,,,,,
Staphylococcus,Regras de Especialistas e Fenótipos Esperados,,,,,,,"Para abreviações e explicações sobre pontos de corte, ver aba de Notas"
Staphylococcus,Cefalosporinas1,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Staphylococcus,Cefaclor2,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,"1/A. A sensibilidade às cefalosporinas em estafilococos é inferida pela sensibilidade à cefoxitina, exceto para ceftazidima, ceftazidima-avibactam e ceftolozana-tazobactam, que não têm pontos de corte definidos e não devem ser utilizadas para tratamento de infecções estafilocócicas. Para agentes administrados por via oral, deve-se ter cuidado para obter exposição suficiente no local da infecção. Se forem relatados cefotaxima e ceftriaxona para estafilococos sensíveis à meticilina (oxacilina), estes devem ser relatados como “Sensível, aumentando exposição” (I). Alguns S. aureus resistentes à meticilina (oxacilina) são sensíveis à ceftarolina, Ver Notas 7/D e 7/E. 
2. Ver tabela de dosagens.
3. A adição de um inibidor de betalactamase não acrescenta benefício clínico.
4. S. aureus e S. lugdunensis com valores de CIM para cefoxitina >4 mg/L e S. saprophyticus com valores de CIM para cefoxitina  >8 mg/L são resistentes à meticilina (oxacilina) principalmente devido à presença do gene mecA ou mecC. Testes de disco-difusão são confiáveis para predizer resistência à meticilina (oxacilina).
5.  Para estafilococos que não sejam S. aureus, S. lugdunensis ou S. saprohyticus, a CIM de cefoxitina é menos preditiva de resistência à meticilina (oxacilina) do que o teste de disco-difusão.
6/C. Em S. pseudintermedius, S. intermedius, S. schleiferi e S. coagulans, o disco de cefoxitina é menos preditivo para a detecção de resistência à meticilina do que em outros estafilococos. Utilizar o disco de oxacilina 1 µg com pontos de corte de diâmetro de halo S ≥20, R < 20 mm.
7/D. Isolados sensíveis à meticilina (oxacilina) podem ser reportados como sensíveis à ceftarolina sem testes adicionais.
8/E. Isolados resistentes são raros.

B. Caso um estafilococo coagulase negativo não seja identificado em nível de espécie, utilizar pontos de corte para diâmetro de halo S≥ 25, R<25mm, com AIT de 22-24mm. Para isolados com resultado dentro da AIT: identificar a espécie, realizar PCR para mecA/mecC ou reportar resistente."
Staphylococcus,Cefadroxila,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
Staphylococcus,Cefalexina,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
Staphylococcus,Cefazolina2,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
Staphylococcus,Cefepima2,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
Staphylococcus,Cefepima-enmetazobactam3,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
Staphylococcus,Cefotaxima2,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
Staphylococcus,Cefoxitina (exclusivamente triagem) S. aureus e estafilococos coagulase negativos exceto S. epidermidis e S. lugdunensis,"Nota4,5","Nota4,5","Nota4,5","22A,B",-,"<22A,B",
Staphylococcus,"Cefoxitina (exclusivamente triagem), S. epidermidis e S. lugdunensis","Nota4,5","Nota4,5","Nota4,5","27A,B",-,"<27A,B",
Staphylococcus,"Cefoxitina (exclusivamente triagem),  S. pseudintermedius, S. intermedius, S. schleiferi e S. coagulans",Nota6,Nota6,Nota6,NotaC,NotaC,NotaC,
Staphylococcus,"Cefoxitina (exclusivamente triagem), Staphylococcus coagulase negativo sem identificação da espécie",-,-,-,25B,-,<25B,
Staphylococcus,"Ceftarolina (outras indicações excetuando pneumonia), S. aureus",17,27,">27,8",20D,17-19D,"<17D,E",
Staphylococcus,"Ceftarolina (pneumonia), S. aureus",17,-,>17,20D,-,<20D,
Staphylococcus,Ceftriaxona2,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
Staphylococcus,Cefuroxima iv2,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
Staphylococcus,Cefuroxima oral,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
Staphylococcus,Staphylococcus spp.,,,,,,,
Staphylococcus,Regras de Especialistas e Fenótipos Esperados,,,,,,,"Para abreviações e explicações sobre pontos de corte, ver aba de Notas"
Staphylococcus,Carbapenêmicos1,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Staphylococcus,Doripenem,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,"1/A. A sensibilidade dos estafilococos aos carbapenêmicos é inferida a partir da sensibilidade à cefoxitina.
2. A adição de um inibidor de betalactamase não acrescenta benefício clínico."
Staphylococcus,Ertapenem,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
Staphylococcus,Imipenem,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
Staphylococcus,Imipenem-relebactam2,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
Staphylococcus,Meropenem,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
Staphylococcus,Meropenem-vaborbactam2,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
Staphylococcus,Fluoroquinolonas1,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Staphylococcus,"Ciprofloxacino, S. aureus","(0,001)2","(0,002-2)2",(>2)2,"(50)A,B","(17-49)A,B","(<17)A,B","1. Para pontos de corte para outras fluoroquinolonas (por exemplo, pefloxacino e enoxacino), consultar os pontos de corte definidos pelos comitês nacionais de pontos de corte.
2/A. Para obter informações sobre como usar pontos de corte entre parênteses, consultar https://www.eucast.org/eucastguidancedocuments/.
3/E. Pontos de corte de ofloxacino para Staphylococcus spp. foram removidos, pois nas infecções sistêmicas por estafilococos o agente é inferior à outras fluoroquinolonas. Para o uso tópico de ofloxacino, consultar as tabelas de agentes tópicos.
B. O teste de disco-difusão com norfloxacino pode ser utilizado para triagem de resistência às fluoroquinolonas. Ver nota D.
C. O teste de disco-difusão aguarda ação da indústria farmacêutica responsável. 
D. Os isolados categorizados como negativos no teste de triagem com norfloxacino (diâmetro do halo ≥17 mm) podem ser reportados como sensíveis ao moxifloxacino e ""sensível, aumentando exposição"" (I) ao levofloxacino. Para ciprofloxacino, o isolado é desprovido de mecanismos de resistência fenotipicamente detectáveis e pode ser utilizado em alta exposição em terapia combinada (ver Nota 2/A). Os isolados triados como positivos (diâmetro do halo <17 mm) devem ser testados quanto à sensibilidade aos antimicrobianos específicos ou ser reportados como resistentes."
Staphylococcus,"Ciprofloxacino, estafilococo coagulase negativo","(0,001)2","(0,002-2)2",(>2)2,"(50)A,B","(22-49)A,B","(<22)A,B",
Staphylococcus,"Delafloxacino (pneumonia comunitária),
S. aureus","0,016",-,">0,016",NotaC,NotaC,NotaC,
Staphylococcus,"Delafloxacino (infecções da pele e tecidos moles), S. aureus","0,25",-,">0,25",NotaC,NotaC,NotaC,
Staphylococcus,"Levofloxacino, S. aureus","0,001","0,002-1",>1,50B,22-49B,<22B,
Staphylococcus,"Levofloxacino, estafilococo coagulase negativo","0,001","0,002-1",>1,50B,24-49B,<24B,
Staphylococcus,"Moxifloxacino, S. aureus","0,25",-,">0,25",25B,-,<25B,
Staphylococcus,"Moxifloxacino, estafilococo coagulase negativo","0,25",-,">0,25",28B,-,<28B,
Staphylococcus,Norfloxacino (exclusivamente triagem),,,,17D,-,<17D,
Staphylococcus,Ofloxacino,Nota3,Nota3,Nota3,NotaE,NotaE,NotaE,
Staphylococcus,Aminogicosídeos1,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Staphylococcus,"Amicacina, S. aureus",(16)1,-,(>16)1,(15)A,-,(<15)A,"1/A. Para obter informações sobre como usar pontos de corte entre parênteses, consultar https://www.eucast.org/eucastguidancedocuments/."
Staphylococcus,"Amicacina, estafilococo coagulase negativo",(16)1,-,(>16)1,(15)A,-,(<15)A,
Staphylococcus,"Gentamicina, S. aureus",(2)1,-,(>2)1,(18)A,-,(<18)A,
Staphylococcus,"Gentamicina, estafilococo coagulase negativo",(2)1,-,(>2)1,(22)A,-,(<22)A,
Staphylococcus,Netilmicina,EI,EI,EI,EI,EI,EI,
Staphylococcus,"Tobramicina, S. aureus",(2)1,-,(>2)1,(18)A,-,(<18)A,
Staphylococcus,"Tobramicina, estafilococo coagulase negativo",(2)1,-,(>2)1,(20)A,-,(<20)A,
Staphylococcus,Staphylococcus spp.,,,,,,,
Staphylococcus,Regras de Especialistas e Fenótipos Esperados,,,,,,,"Para abreviações e explicações sobre pontos de corte, ver aba de Notas"
Staphylococcus,Glicopeptídeos1,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Staphylococcus,"Teicoplanina2, S. aureus",2,-,>2,NotaA,NotaA,NotaA,"1. A CIM de glicopeptídeos é dependente do método e deve ser determinada por microdiluição em caldo (referência ISO 20776-1). S. aureus com CIM de 2 mg/L para vancomicina estão no limite da distribuição da CIM do tipo selvagem e pode haver diminuição da resposta clínica.
2. Isolados resistentes são raros ou ainda não foram reportados. A identificação e o teste de sensibilidade aos antimicrobianos em isolados resistentes devem ser confirmados em centro de referência."
Staphylococcus,"Teicoplanina2, estafilococo coagulase negativo",4,-,>4,NotaA,NotaA,NotaA,
Staphylococcus,"Vancomicina2, S. aureus",2,-,>2,NotaA,NotaA,NotaA,
Staphylococcus,"Vancomicina2, estafilococo coagulase
 negativo",4,-,>4,NotaA,NotaA,NotaA,A. O método de disco-difusão não é confiável e não distingue isolados selvagens daqueles com resistência não mediada pelo gene vanA.
Staphylococcus,Macrolídeos e lincosamidas,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Staphylococcus,Azitromicina,21,-,>21,NotaA,NotaA,NotaA,1/A. A eritromicina pode ser utilizada como triagem para determinar a resistência aos macrolídeos em estafilococos. Isolados categorizados como sensíveis podem ser reportados como sensíveis à azitromicina e à claritromicina. Isolados categorizados como positivos na triagem devem ser testados quanto à sensibilidade a agentes individuais ou reportados como resistentes.
Staphylococcus,Claritromicina,11,-,>11,NotaA,NotaA,NotaA,"2. A resistência induzível à clindamicina pode ser detectada pelo antagonismo da atividade da clindamicina por agente macrolídeo. Se antagonismo não for detectado, reportar como testado de acordo com os pontos de corte clínicos. Se detectado, reportar como resistente e considerar a inclusão do comentário: “A clindamicina ainda pode ser utilizada para tratamento de curta duração ou tratamento de infecções menos graves de pele e tecidos moles porque é improvável haver desenvolvimento de resistência plena durante tais tratamentos”."
Staphylococcus,Eritromicina,11,-,>11,21A,-,<21A,"B. Posicionar os discos de eritromicina e clindamicina a uma distância de 12-20 mm (borda-borda) e observar a ocorrência de antagonismo (halo de inibição em forma de ""D"")."
Staphylococcus,Clindamicina2,"0,25",-,">0,25",22B,-,<22B,
Staphylococcus,Tetraciclinas,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Staphylococcus,Doxiciclina,11,-,>11,NotaA,NotaA,NotaA,"1/A. A tetraciclina pode ser usada para triagem de resistência às demais tetraciclinas. Isolados categorizados como sensíveis podem ser reportados como sensíveis à doxiciclina e minociclina. Isolados categorizados como resistentes devem ser testados quanto à sensibilidade a agentes individuais ou reportados como resistentes.
2. Isolados resistentes são raros ou ainda não foram reportados. A identificação e o teste de sensibilidade em isolados resistentes devem ser confirmados em centro de referência.
3. Para determinação da CIM de tigeciclina por microdiluição, o meio deve ser preparado fresco no dia do uso.

B. Para isolados MRSA classificados como sensíveis por disco-difusão, o resultado deve ser confirmado por determinação da CIM."
Staphylococcus,"Eravaciclina, S. aureus","0,25",-,">0,25",20B,-,<20B,
Staphylococcus,Minociclina,"0,51",-,">0,51",23A,-,<23A,
Staphylococcus,Tetraciclina,11,-,>11,22A,-,<22A,
Staphylococcus,Tigeciclina 2,"0,53",-,">0,53",19,-,<19,
Staphylococcus,Staphylococcus spp.,,,,,,,
Staphylococcus,Regras de Especialistas e Fenótipos Esperados,,,,,,,"Para abreviações e explicações sobre pontos de corte, ver aba de Notas"
Staphylococcus,Oxazolidinonas,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Staphylococcus,Linezolida,4,-,>4,21,-,<21,1/A. Isolados sensíveis à linezolida podem ser considerados sensíveis à tedizolida.
Staphylococcus,Tedizolida,"0,51",-,">0,5",20A,-,<20,
Staphylococcus,Agentes Diversos,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Staphylococcus,Ácido fusídico,1,-,>1,24,-,<24,"1. Isolados resistentes são raros ou ainda não foram reportados. A identificação e o teste de sensibilidade em isolados resistentes devem ser confirmados em centro de referência.
2. Para determinação da CIM de daptomicina o meio deve ser suplementado com Ca++ para uma concentração final de 50 mg/L para o método da microdiluição em caldo. A diluição em ágar não está validada. Seguir as instruções do fabricante caso utilize um sistema comercial.
3/B. A realização do teste de sensibilidade antimicrobiana não é recomendada. Para obter informações sobre o uso de fosfomicina iv em terapia combinada consultar https://www.eucast.org/eucastguidancedocuments/.
4. Sulfametoxazol-trimetoprima na proporção 19:1. Os pontos de corte de CIM estão expressos como concentração de trimetoprima.

A. Utilizar método de determinação da CIM."
Staphylococcus,Cloranfenicol,EI,EI,EI,EI,EI,EI,
Staphylococcus,Daptomicina1,12,-,>12,NotaA,NotaA,NotaA,
Staphylococcus,Fosfomicina IV,Nota3,Nota3,Nota3,NotaB,NotaB,NotaB,
Staphylococcus,Fosfomicina oral,-,-,-,-,-,-,
Staphylococcus,"Lefamulina, S. aureus","0,25",-,">0,25",23,-,<23,
Staphylococcus,"Nitrofurantoína (exclusivamente ITU não complicada), S. saprophyticus",64,-,>64,13,-,<13,
Staphylococcus,"Rifampicina, S. aureus","0,06",-,">0,06",26,-,<26,
Staphylococcus,"Rifampicina, Staphylococcus coagulase negativo","0,06",-,">0,06",30,-,<30,
Staphylococcus,Sulfametoxazol-trimetoprima4,2,4,>4,17,14-16,<14,
Staphylococcus,Exemplos de halos de inibição para Staphylococcus aureus com benzilpenicilina.,,,,,,,
Staphylococcus,"a) Bordas do halo mal definidas (redução do crescimento em direção à borda do halo, como uma ""praia"") e diâmetro do halo de inibição ≥ 26 mm. Reportar como sensível.",,,,,,,
Staphylococcus,"b) Bordas do halo bem definidas (sem redução do crescimento em direção à borda do halo, como uma ""falésia"") e diâmetro do halo de inibição ≥ 26 mm. Reportar como resistente.",,,,,,,
